0 0 1.0000
0 1 0.1453
0 2 0.1857
0 3 0.0000
0 4 0.0000
0 5 0.0000
0 6 0.0000
0 7 0.0000
0 8 0.0000
0 9 0.2953
0 10 0.3515

1 0 0.1453
1 1 1.0000
1 2 0.9055
1 3 0.0000
1 4 0.0000
1 5 0.0000
1 6 0.0000
1 7 0.0000
1 8 0.0000
1 9 0.3204
1 10 0.7642

2 0 0.1857
2 1 0.9055
2 2 1.0000
2 3 0.0000
2 4 0.0000
2 5 0.0000
2 6 0.0000
2 7 0.0000
2 8 0.0000
2 9 0.2502
2 10 0.6352

3 0 0.0000
3 1 0.0000
3 2 0.0000
3 3 1.0000
3 4 0.0000
3 5 0.0000
3 6 0.8021
3 7 0.0000
3 8 0.0000
3 9 -0.3571
3 10 -0.4702

4 0 0.0000
4 1 0.0000
4 2 0.0000
4 3 0.0000
4 4 1.0000
4 5 0.0000
4 6 0.0000
4 7 0.8021
4 8 0.0000
4 9 0.0000
4 10 0.0000

5 0 0.0000
5 1 0.0000
5 2 0.0000
5 3 0.0000
5 4 0.0000
5 5 1.0000
5 6 0.0000
5 7 0.0000
5 8 0.8021
5 9 0.0000
5 10 0.0000

6 0 0.0000
6 1 0.0000
6 2 0.0000
6 3 0.8021
6 4 0.0000
6 5 0.0000
6 6 1.0000
6 7 0.0000
6 8 0.0000
6 9 -0.1353
6 10 -0.2955

7 0 0.0000
7 1 0.0000
7 2 0.0000
7 3 0.0000
7 4 0.8021
7 5 0.0000
7 6 0.0000
7 7 1.0000
7 8 0.0000
7 9 0.0000
7 10 0.0000

8 0 0.0000
8 1 0.0000
8 2 0.0000
8 3 0.0000
8 4 0.0000
8 5 0.8021
8 6 0.0000
8 7 0.0000
8 8 1.0000
8 9 0.0000
8 10 0.0000

9 0 0.2953
9 1 0.3204
9 2 0.2502
9 3 -0.3571
9 4 0.0000
9 5 0.0000
9 6 -0.1353
9 7 0.0000
9 8 0.0000
9 9 1.0000
9 10 0.6583

10 0 0.3515
10 1 0.7642
10 2 0.6352
10 3 -0.4702
10 4 0.0000
10 5 0.0000
10 6 -0.2955
10 7 0.0000
10 8 0.0000
10 9 0.6583
10 10 1.0000

