0 0 1.0000
0 1 0.1453
0 2 0.1857
0 3 0.0000
0 4 0.0000
0 5 0.2953
0 6 0.3515

1 0 0.1453
1 1 1.0000
1 2 0.9055
1 3 0.0000
1 4 0.0000
1 5 0.3204
1 6 0.7642

2 0 0.1857
2 1 0.9055
2 2 1.0000
2 3 0.0000
2 4 0.0000
2 5 0.2502
2 6 0.6352

3 0 0.0000
3 1 0.0000
3 2 0.0000
3 3 1.0000
3 4 0.8021
3 5 -0.3571
3 6 -0.4702

4 0 0.0000
4 1 0.0000
4 2 0.0000
4 3 0.8021
4 4 1.0000
4 5 -0.1353
4 6 -0.2955

5 0 0.2953
5 1 0.3204
5 2 0.2502
5 3 -0.3571
5 4 -0.1353
5 5 1.0000
5 6 0.6583

6 0 0.3515
6 1 0.7642
6 2 0.6352
6 3 -0.4702
6 4 -0.2955
6 5 0.6583
6 6 1.0000

