#Time E_0 E_1 E_2 E_3 E_4
81.0 -8.29460640 -8.18051074 -8.10701837 -7.99645298 -7.89670613
82.0 -8.30792303 -8.19418813 -8.12127303 -8.00928460 -7.91131137
83.0 -8.32109852 -8.20773744 -8.13536060 -8.02200663 -7.92573171
84.0 -8.33412244 -8.22114757 -8.14927036 -8.03461200 -7.93995757
85.0 -8.34698506 -8.23440813 -8.16299239 -8.04709406 -7.95398003
86.0 -8.35967734 -8.24750943 -8.17651756 -8.05944656 -7.96779093
87.0 -8.37219099 -8.26044253 -8.18983756 -8.07166362 -7.98138281
88.0 -8.38451842 -8.27319918 -8.20294485 -8.08373974 -7.99474891
89.0 -8.39665274 -8.28577191 -8.21583265 -8.09566977 -8.00788318
90.0 -8.40858779 -8.29815393 -8.22849499 -8.10744892 -8.02078027
91.0 -8.42031808 -8.31033918 -8.24092660 -8.11907273 -8.03343546
92.0 -8.43183878 -8.32232231 -8.25312295 -8.13053708 -8.04584471
93.0 -8.44314575 -8.33409866 -8.26508023 -8.14183819 -8.05800463
94.0 -8.45423544 -8.34566421 -8.27679527 -8.15297257 -8.06991240
95.0 -8.46510496 -8.35701563 -8.28826558 -8.16393710 -8.08156584
96.0 -8.47575197 -8.36815018 -8.29948927 -8.17472894 -8.09296331
97.0 -8.48617473 -8.37906573 -8.31046504 -8.18534559 -8.10410374
98.0 -8.49637200 -8.38976074 -8.32119217 -8.19578485 -8.11498659
99.0 -8.50634307 -8.40023418 -8.33167044 -8.20604482 -8.12561181
100.0 -8.51608772 -8.41048555 -8.34190014 -8.21612390 -8.13597981
101.0 -8.52560614 -8.42051483 -8.35188201 -8.22602078 -8.14609148
102.0 -8.53489899 -8.43032243 -8.36161722 -8.23573446 -8.15594810
103.0 -8.54396729 -8.43990922 -8.37110733 -8.24526418 -8.16555137
104.0 -8.55281243 -8.44927641 -8.38035426 -8.25460948 -8.17490334
105.0 -8.56143613 -8.45842562 -8.38936030 -8.26377015 -8.18400643
106.0 -8.56984045 -8.46735875 -8.39812800 -8.27274625 -8.19286334
107.0 -8.57802769 -8.47607804 -8.40666021 -8.28153807 -8.20147709
108.0 -8.58600044 -8.48458598 -8.41496003 -8.29014613 -8.20985095
109.0 -8.59376150 -8.49288534 -8.42303076 -8.29857120 -8.21798844
110.0 -8.60131389 -8.50097907 -8.43087594 -8.30681424 -8.22589329
111.0 -8.60866083 -8.50887035 -8.43849926 -8.31487643 -8.23356941
112.0 -8.61580568 -8.51656253 -8.44590456 -8.32275913 -8.24102092
113.0 -8.62275198 -8.52405912 -8.45309585 -8.33046390 -8.24825206
