#Time E_0 E_1 E_2 E_3 E_4
81.0 -7.75117121 -7.65053709 -7.51927446 -7.48703643 -7.26013944
82.0 -7.75076858 -7.65058934 -7.51915377 -7.48754188 -7.25974258
83.0 -7.75032838 -7.65060525 -7.51899117 -7.48801145 -7.25928658
84.0 -7.74985094 -7.65058470 -7.51878660 -7.48844428 -7.25877195
85.0 -7.74933665 -7.65052762 -7.51854005 -7.48883956 -7.25819927
86.0 -7.74878597 -7.65043400 -7.51825164 -7.48919660 -7.25756916
87.0 -7.74819939 -7.65030393 -7.51792156 -7.48951476 -7.25688231
88.0 -7.74757748 -7.65013754 -7.51755008 -7.48979349 -7.25613947
89.0 -7.74692087 -7.64993503 -7.51713757 -7.49003233 -7.25534146
90.0 -7.74623024 -7.64969669 -7.51668450 -7.49023093 -7.25448914
91.0 -7.74550631 -7.64942287 -7.51619142 -7.49038899 -7.25358345
92.0 -7.74474987 -7.64911399 -7.51565897 -7.49050634 -7.25262537
93.0 -7.74396176 -7.64877052 -7.51508789 -7.49058290 -7.25161596
94.0 -7.74314285 -7.64839303 -7.51447900 -7.49061867 -7.25055631
95.0 -7.74229409 -7.64798213 -7.51383319 -7.49061375 -7.24944759
96.0 -7.74141644 -7.64753851 -7.51315147 -7.49056832 -7.24829101
97.0 -7.74051093 -7.64706290 -7.51243490 -7.49048268 -7.24708783
98.0 -7.73957861 -7.64655612 -7.51168465 -7.49035717 -7.24583937
99.0 -7.73862056 -7.64601902 -7.51090193 -7.49019223 -7.24454700
100.0 -7.73763793 -7.64545251 -7.51008807 -7.48998839 -7.24321211
101.0 -7.73663185 -7.64485757 -7.50924443 -7.48974624 -7.24183618
102.0 -7.73560351 -7.64423519 -7.50837246 -7.48946641 -7.24042068
103.0 -7.73455413 -7.64358644 -7.50747368 -7.48914963 -7.23896715
104.0 -7.73348492 -7.64291241 -7.50654966 -7.48879665 -7.23747716
105.0 -7.73239714 -7.64221423 -7.50560203 -7.48840828 -7.23595231
106.0 -7.73129203 -7.64149305 -7.50463248 -7.48798537 -7.23439421
107.0 -7.73017087 -7.64075008 -7.50364276 -7.48752877 -7.23280452
108.0 -7.72903494 -7.63998652 -7.50263465 -7.48703940 -7.23118490
109.0 -7.72788551 -7.63920360 -7.50161000 -7.48651815 -7.22953705
110.0 -7.72672387 -7.63840259 -7.50057067 -7.48596596 -7.22786265
111.0 -7.72555130 -7.63758474 -7.49951860 -7.48538376 -7.22616342
112.0 -7.72436908 -7.63675133 -7.49845572 -7.48477245 -7.22444108
113.0 -7.72317848 -7.63590365 -7.49738402 -7.48413297 -7.22269732
114.0 -7.72198076 -7.63504296 -7.49630550 -7.48346623 -7.22093387
115.0 -7.72077717 -7.63417056 -7.49522217 -7.48277312 -7.21915244
116.0 -7.71956894 -7.63328772 -7.49413606 -7.48205455 -7.21735471
117.0 -7.71835730 -7.63239572 -7.49304917 -7.48131140 -7.21554237
118.0 -7.71714343 -7.63149582 -7.49196350 -7.48054455 -7.21371709
119.0 -7.71592853 -7.63058925 -7.49088101 -7.47975490 -7.21188051
120.0 -7.71471375 -7.62967727 -7.48980361 -7.47894337 -7.21003428
121.0 -7.71350022 -7.62876109 -7.48873315 -7.47811090 -7.20817998
122.0 -7.71228905 -7.62784190 -7.48767138 -7.47725848 -7.20631919
123.0 -7.71108133 -7.62692089 -7.48661996 -7.47638714 -7.20445347
124.0 -7.70987810 -7.62599920 -7.48558039 -7.47549801 -7.20258432
125.0 -7.70868040 -7.62507796 -7.48455407 -7.47459229 -7.20071323
126.0 -7.70748922 -7.62415828 -7.48354222 -7.47367126 -7.19884165
127.0 -7.70630552 -7.62324123 -7.48254591 -7.47273631 -7.19697099
128.0 -7.70513025 -7.62232786 -7.48156606 -7.47178894 -7.19510263
129.0 -7.70396431 -7.62141919 -7.48060341 -7.47083070 -7.19323789
130.0 -7.70280856 -7.62051619 -7.47965856 -7.46986324 -7.19137809
131.0 -7.70166385 -7.61961983 -7.47873197 -7.46888828 -7.18952446
132.0 -7.70053099 -7.61873103 -7.47782400 -7.46790757 -7.18767823
133.0 -7.69941075 -7.61785068 -7.47693488 -7.46692287 -7.18584058
134.0 -7.69830386 -7.61697963 -7.47606480 -7.46593598 -7.18401263
135.0 -7.69721105 -7.61611872 -7.47521385 -7.46494865 -7.18219547
136.0 -7.69613298 -7.61526872 -7.47438211 -7.46396260 -7.18039016
137.0 -7.69507031 -7.61443040 -7.47356960 -7.46297951 -7.17859770
138.0 -7.69402364 -7.61360448 -7.47277636 -7.46200100 -7.17681906
139.0 -7.69299356 -7.61279165 -7.47200240 -7.46102861 -7.17505516
140.0 -7.69198061 -7.61199257 -7.47124774 -7.46006380 -7.17330688
141.0 -7.69098532 -7.61120786 -7.47051240 -7.45910797 -7.17157507
142.0 -7.69000817 -7.61043812 -7.46979641 -7.45816240 -7.16986054
143.0 -7.68904962 -7.60968390 -7.46909981 -7.45722833 -7.16816404
144.0 -7.68811009 -7.60894573 -7.46842265 -7.45630688 -7.16648630
145.0 -7.68719000 -7.60822412 -7.46776500 -7.45539912 -7.16482801
