#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.71599389 -7.59728645 -7.47116161 -7.21361243 -7.14945197
1.0 -7.71609187 -7.59736271 -7.47122730 -7.21365130 -7.14948169
2.0 -7.71638759 -7.59759096 -7.47142581 -7.21377750 -7.14958084
3.0 -7.71687849 -7.59796746 -7.47175452 -7.21398896 -7.14974791
4.0 -7.71756013 -7.59848594 -7.47220902 -7.21428175 -7.14997991
5.0 -7.71842636 -7.59913765 -7.47278312 -7.21465038 -7.15027267
6.0 -7.71946922 -7.59991142 -7.47346893 -7.21508784 -7.15062088
7.0 -7.72067907 -7.60079377 -7.47425689 -7.21558563 -7.15101807
8.0 -7.72204456 -7.60176900 -7.47513588 -7.21613382 -7.15145672
9.0 -7.72355266 -7.60281927 -7.47609321 -7.21672109 -7.15192826
10.0 -7.72518875 -7.60392480 -7.47711475 -7.21733482 -7.15242312
11.0 -7.72693661 -7.60506395 -7.47818501 -7.21796115 -7.15293082
12.0 -7.72877853 -7.60621338 -7.47928723 -7.21858508 -7.15343997
13.0 -7.73069532 -7.60734825 -7.48040344 -7.21919052 -7.15393840
14.0 -7.73266644 -7.60844235 -7.48151461 -7.21976044 -7.15441320
15.0 -7.73467004 -7.60946832 -7.48260075 -7.22027694 -7.15485079
16.0 -7.73668310 -7.61039774 -7.48364097 -7.22072137 -7.15523700
17.0 -7.73868149 -7.61120142 -7.48461364 -7.22107445 -7.15555713
18.0 -7.74064010 -7.61184946 -7.48549648 -7.22131636 -7.15579607
19.0 -7.74253300 -7.61231152 -7.48626666 -7.22142693 -7.15593833
20.0 -7.74433353 -7.61255690 -7.48690095 -7.22138568 -7.15596816
21.0 -7.74601450 -7.61255479 -7.48737576 -7.22117201 -7.15586960
22.0 -7.74754829 -7.61227432 -7.48766729 -7.22076532 -7.15562659
23.0 -7.74890705 -7.61168480 -7.48775165 -7.22014509 -7.15522302
24.0 -7.75006285 -7.61075582 -7.48760489 -7.21929107 -7.15464280
25.0 -7.75098787 -7.60945739 -7.48720314 -7.21818335 -7.15386998
26.0 -7.75165452 -7.60776007 -7.48652270 -7.21680251 -7.15288878
27.0 -7.75203568 -7.60563514 -7.48554007 -7.21512970 -7.15168367
28.0 -7.75210479 -7.60305466 -7.48423207 -7.21314676 -7.15023945
29.0 -7.75183604 -7.59999166 -7.48257587 -7.21083635 -7.14854130
30.0 -7.75120454 -7.59642026 -7.48054903 -7.20818198 -7.14657484
31.0 -7.75018641 -7.59231580 -7.47812957 -7.20516811 -7.14432620
32.0 -7.74875893 -7.58765500 -7.47529595 -7.20178026 -7.14178206
33.0 -7.74690063 -7.58241608 -7.47202708 -7.19800502 -7.13892971
34.0 -7.74459145 -7.57657898 -7.46830232 -7.19383013 -7.13575710
35.0 -7.74181273 -7.57012554 -7.46410143 -7.18924452 -7.13225286
36.0 -7.73854739 -7.56303968 -7.45940448 -7.18423835 -7.12840638
37.0 -7.73477988 -7.55530767 -7.45419178 -7.17880304 -7.12420783
38.0 -7.73049632 -7.54691840 -7.44844371 -7.17293130 -7.11964818
39.0 -7.72568449 -7.53786369 -7.44214055 -7.16661712 -7.11471926
40.0 -7.72033386 -7.52813864 -7.43526222 -7.15985582 -7.10941379
41.0 -7.71443561 -7.51774212 -7.42778799 -7.15264400 -7.10372539
42.0 -7.70798264 -7.50667718 -7.41969610 -7.14497959 -7.09764865
43.0 -7.70096956 -7.49495167 -7.41096327 -7.13686180 -7.09117909
