#Time E_0 E_1 E_2 E_3 E_4
81.0 -7.87037076 -7.69660510 -7.44537352 -7.36963548 -7.36462030
82.0 -7.87101334 -7.69675997 -7.44263645 -7.37158384 -7.36875370
83.0 -7.87164805 -7.69692167 -7.44005142 -7.37355219 -7.37285133
84.0 -7.87227568 -7.69709149 -7.43762653 -7.37691119 -7.37554161
85.0 -7.87289694 -7.69727062 -7.43536802 -7.38093142 -7.37755023
86.0 -7.87351247 -7.69746011 -7.43328083 -7.38491030 -7.37957284
87.0 -7.87412286 -7.69766094 -7.43136926 -7.38884622 -7.38160040
88.0 -7.87472861 -7.69787396 -7.42963804 -7.39273773 -7.38361964
89.0 -7.87533017 -7.69809992 -7.42809353 -7.39658350 -7.38561249
90.0 -7.87592795 -7.69833950 -7.42674518 -7.40038230 -7.38755542
91.0 -7.87652229 -7.69859324 -7.42560700 -7.40413304 -7.38941870
92.0 -7.87711349 -7.69886165 -7.42469876 -7.40783474 -7.39116591
93.0 -7.87770178 -7.69914510 -7.42404634 -7.41148653 -7.39275426
94.0 -7.87828736 -7.69944392 -7.42368018 -7.41508763 -7.39413664
95.0 -7.87887039 -7.69975833 -7.42363074 -7.41863739 -7.39526654
96.0 -7.87945099 -7.70008851 -7.42392104 -7.42213523 -7.39610584
97.0 -7.88002923 -7.70043455 -7.42558068 -7.42455837 -7.39663334
98.0 -7.88060515 -7.70079647 -7.42897335 -7.42552939 -7.39684975
99.0 -7.88117877 -7.70117425 -7.43231291 -7.42680181 -7.39677613
100.0 -7.88175005 -7.70156781 -7.43559916 -7.42833149 -7.39644681
101.0 -7.88231894 -7.70197699 -7.43883193 -7.43007089 -7.39590097
102.0 -7.88288538 -7.70240161 -7.44201112 -7.43197540 -7.39517632
103.0 -7.88344925 -7.70284143 -7.44513673 -7.43400646 -7.39430598
104.0 -7.88401045 -7.70329619 -7.44820879 -7.43613241 -7.39331769
105.0 -7.88456883 -7.70376556 -7.45122738 -7.43832789 -7.39223446
106.0 -7.88512423 -7.70424919 -7.45419267 -7.44057286 -7.39107563
107.0 -7.88567649 -7.70474671 -7.45710486 -7.44285153 -7.38985815
108.0 -7.88622542 -7.70525771 -7.45996417 -7.44515144 -7.38859779
109.0 -7.88677083 -7.70578175 -7.46277092 -7.44746271 -7.38731024
110.0 -7.88731252 -7.70631839 -7.46552541 -7.44977744 -7.38601229
111.0 -7.88785029 -7.70686714 -7.46822801 -7.45208929 -7.38472308
112.0 -7.88838391 -7.70742751 -7.47087913 -7.45439314 -7.38346542
113.0 -7.88891318 -7.70799900 -7.47347918 -7.45668482 -7.38226735
114.0 -7.88943787 -7.70858110 -7.47602862 -7.45896092 -7.38116363
115.0 -7.88995777 -7.70917327 -7.47852794 -7.46121865 -7.38019684
116.0 -7.89047265 -7.70977498 -7.48097763 -7.46345572 -7.37941700
117.0 -7.89098231 -7.71038569 -7.48337823 -7.46567023 -7.37887809
118.0 -7.89148652 -7.71100486 -7.48573026 -7.46786063 -7.37863030
119.0 -7.89198507 -7.71163193 -7.48803428 -7.47002566 -7.37870864
120.0 -7.89247776 -7.71226636 -7.49029088 -7.47216427 -7.37912274
121.0 -7.89296439 -7.71290761 -7.49250062 -7.47427563 -7.37985417
122.0 -7.89344475 -7.71355512 -7.49466412 -7.47635906 -7.38086305
123.0 -7.89391866 -7.71420835 -7.49678196 -7.47841403 -7.38209957
124.0 -7.89438593 -7.71486677 -7.49885476 -7.48044014 -7.38351406
125.0 -7.89484638 -7.71552983 -7.50088315 -7.48243709 -7.38506282
