#Time E_0 E_1 E_2 E_3 E_4
81.0 -7.28658288 -6.85981989 -6.80366327 -6.78752907 -6.70869380
82.0 -7.27383919 -6.84332741 -6.79455005 -6.77522380 -6.68908112
83.0 -7.26128751 -6.82721806 -6.78558248 -6.76355800 -6.66916363
84.0 -7.24894005 -6.81150781 -6.77677014 -6.75240204 -6.64908036
85.0 -7.23680800 -6.79621410 -6.76812182 -6.74165022 -6.62894425
86.0 -7.22490152 -6.78135822 -6.75964548 -6.73121354 -6.60884722
87.0 -7.21322975 -6.76696813 -6.75134833 -6.72101167 -6.58886523
88.0 -7.20180082 -6.75308154 -6.74323676 -6.71096572 -6.56906225
89.0 -7.19062192 -6.73974847 -6.73531638 -6.70099255 -6.54949296
90.0 -7.17969923 -6.72759209 -6.72703133 -6.69100249 -6.53020451
91.0 -7.16903807 -6.72006800 -6.71499950 -6.68090324 -6.51123760
92.0 -7.15864285 -6.71274758 -6.70371546 -6.67061268 -6.49262719
93.0 -7.14851717 -6.70563359 -6.69321450 -6.66007843 -6.47440295
94.0 -7.13866383 -6.69872819 -6.68348896 -6.64929304 -6.45658962
95.0 -7.12908490 -6.69203293 -6.67448861 -6.63829326 -6.43920735
96.0 -7.11978175 -6.68554881 -6.66613705 -6.62714326 -6.42227202
97.0 -7.11075512 -6.67927630 -6.65835193 -6.61591429 -6.40579560
98.0 -7.10200511 -6.67321538 -6.65105859 -6.60467078 -6.38978649
99.0 -7.09353127 -6.66736558 -6.64419543 -6.59346483 -6.37424990
100.0 -7.08533263 -6.66172599 -6.63771400 -6.58233605 -6.35918819
101.0 -7.07740772 -6.65629531 -6.63157682 -6.57131355 -6.34460122
102.0 -7.06975458 -6.65107187 -6.62575488 -6.56041844 -6.33048666
103.0 -7.06237084 -6.64605363 -6.62022546 -6.54966590 -6.31684026
104.0 -7.05525371 -6.64123825 -6.61497039 -6.53906685 -6.30365612
105.0 -7.04840004 -6.63662309 -6.60997481 -6.52862918 -6.29092691
106.0 -7.04180632 -6.63220522 -6.60522625 -6.51835859 -6.27864406
107.0 -7.03546872 -6.62798149 -6.60071399 -6.50825927 -6.26679790
108.0 -7.02938313 -6.62394850 -6.59642859 -6.49833431 -6.25537786
109.0 -7.02354518 -6.62010267 -6.59236157 -6.48858603 -6.24437255
