#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73033834 -7.61648030 -7.48937524 -7.44039952 -7.19133458
1.0 -7.73033864 -7.61648017 -7.48937324 -7.44039738 -7.19135977
2.0 -7.73034041 -7.61647963 -7.48936743 -7.44039092 -7.19144789
3.0 -7.73034488 -7.61648000 -7.48935922 -7.44038151 -7.19160067
4.0 -7.73035411 -7.61648357 -7.48935104 -7.44037152 -7.19182040
5.0 -7.73037100 -7.61649356 -7.48934627 -7.44036429 -7.19211036
6.0 -7.73039929 -7.61651411 -7.48934929 -7.44036408 -7.19247475
7.0 -7.73044352 -7.61655025 -7.48936539 -7.44037611 -7.19291866
8.0 -7.73050900 -7.61660789 -7.48940079 -7.44040647 -7.19344804
9.0 -7.73060181 -7.61669373 -7.48946258 -7.44046209 -7.19406964
10.0 -7.73072870 -7.61681527 -7.48955866 -7.44055073 -7.19479099
11.0 -7.73089713 -7.61698076 -7.48969773 -7.44068091 -7.19562034
12.0 -7.73111517 -7.61719912 -7.48988922 -7.44086186 -7.19656658
13.0 -7.73139147 -7.61747990 -7.49014321 -7.44110348 -7.19763923
14.0 -7.73173521 -7.61783325 -7.49047044 -7.44141625 -7.19884833
15.0 -7.73215606 -7.61826981 -7.49088215 -7.44181120 -7.20020437
16.0 -7.73266410 -7.61880068 -7.49139009 -7.44229982 -7.20171825
17.0 -7.73326974 -7.61943734 -7.49200640 -7.44289399 -7.20340115
18.0 -7.73398373 -7.62019157 -7.49274359 -7.44360593 -7.20526450
19.0 -7.73481704 -7.62107542 -7.49361439 -7.44444811 -7.20731992
20.0 -7.73578080 -7.62210107 -7.49463174 -7.44543316 -7.20957908
21.0 -7.73688627 -7.62328083 -7.49580871 -7.44657385 -7.21205367
22.0 -7.73814473 -7.62462701 -7.49715835 -7.44788291 -7.21475527
23.0 -7.73956742 -7.62615187 -7.49869369 -7.44937306 -7.21769532
24.0 -7.74116552 -7.62786753 -7.50042761 -7.45105686 -7.22088501
25.0 -7.74295001 -7.62978592 -7.50237281 -7.45294667 -7.22433523
26.0 -7.74493167 -7.63191870 -7.50454167 -7.45505455 -7.22805647
27.0 -7.74712100 -7.63427717 -7.50694624 -7.45739221 -7.23205878
28.0 -7.74952814 -7.63687226 -7.50959813 -7.45997092 -7.23635168
29.0 -7.75216280 -7.63971435 -7.51250843 -7.46280144 -7.24094407
30.0 -7.75503423 -7.64281333 -7.51568764 -7.46589395 -7.24584419
31.0 -7.75815114 -7.64617845 -7.51914562 -7.46925798 -7.25105956
32.0 -7.76152167 -7.64981833 -7.52289157 -7.47290238 -7.25659697
33.0 -7.76515334 -7.65374087 -7.52693388 -7.47683525 -7.26246235
34.0 -7.76905299 -7.65795322 -7.53128016 -7.48106388 -7.26866083
35.0 -7.77322674 -7.66246172 -7.53593715 -7.48559470 -7.27519659
36.0 -7.77767994 -7.66727184 -7.54091068 -7.49043325 -7.28207287
37.0 -7.78241714 -7.67238818 -7.54620561 -7.49558412 -7.28929197
38.0 -7.78744209 -7.67781445 -7.55182584 -7.50105093 -7.29685516
39.0 -7.79275767 -7.68355341 -7.55777428 -7.50683633 -7.30476276
40.0 -7.79836593 -7.68960687 -7.56405280 -7.51294197 -7.31301407
41.0 -7.80426800 -7.69597572 -7.57066226 -7.51936847 -7.32160739
42.0 -7.81046415 -7.70265982 -7.57760245 -7.52611543 -7.33053996
43.0 -7.81695372 -7.70965808 -7.58487209 -7.53318139 -7.33980804
44.0 -7.82373515 -7.71696842 -7.59246887 -7.54056388 -7.34940686
45.0 -7.83080598 -7.72458781 -7.60038942 -7.54825938 -7.35933066
46.0 -7.83816287 -7.73251225 -7.60862935 -7.55626343 -7.36957275
47.0 -7.84580163 -7.74073685 -7.61718329 -7.56457055 -7.38012550
48.0 -7.85371719 -7.74925579 -7.62604489 -7.57317433 -7.39098039
49.0 -7.86190365 -7.75806237 -7.63520680 -7.58206743 -7.40212800
50.0 -7.87035430 -7.76714903 -7.64466082 -7.59124163 -7.41355810
51.0 -7.87906167 -7.77650741 -7.65439783 -7.60068787 -7.42525967
52.0 -7.88801753 -7.78612837 -7.66440789 -7.61039628 -7.43722095
53.0 -7.89721298 -7.79600208 -7.67468030 -7.62035628 -7.44942951
54.0 -7.90663845 -7.80611799 -7.68520362 -7.63055658 -7.46187229
55.0 -7.91628375 -7.81646496 -7.69596577 -7.64098526 -7.47453566
56.0 -7.92613812 -7.82703122 -7.70695400 -7.65162981 -7.48740545
57.0 -7.93619031 -7.83780453 -7.71815504 -7.66247721 -7.50046705
58.0 -7.94642855 -7.84877214 -7.72955512 -7.67351398 -7.51370543
59.0 -7.95684072 -7.85992092 -7.74114003 -7.68472626 -7.52710524
60.0 -7.96741431 -7.87123739 -7.75289525 -7.69609986 -7.54065090
61.0 -7.97813653 -7.88270777 -7.76480592 -7.70762034 -7.55432657
62.0 -7.98899433 -7.89431807 -7.77685695 -7.71927305 -7.56811630
63.0 -7.99997444 -7.90605408 -7.78903309 -7.73104318 -7.58200401
64.0 -8.01106347 -7.91790150 -7.80131896 -7.74291586 -7.59597361
65.0 -8.02224794 -7.92984592 -7.81369914 -7.75487619 -7.61000904
66.0 -8.03351431 -7.94187298 -7.82615823 -7.76690932 -7.62409431
67.0 -8.04484911 -7.95396833 -7.83868091 -7.77900050 -7.63821361
68.0 -8.05623888 -7.96611774 -7.85125200 -7.79113513 -7.65235130
69.0 -8.06767033 -7.97830712 -7.86385648 -7.80329882 -7.66649200
70.0 -8.07913027 -7.99052255 -7.87647958 -7.81547741 -7.68062061
71.0 -8.09060575 -8.00275037 -7.88910680 -7.82765704 -7.69472235
72.0 -8.10208402 -8.01497718 -7.90172395 -7.83982419 -7.70878284
73.0 -8.11355265 -8.02718988 -7.91431722 -7.85196568 -7.72278807
74.0 -8.12499949 -8.03937577 -7.92687322 -7.86406878 -7.73672453
75.0 -8.13641276 -8.05152249 -7.93937897 -7.87612119 -7.75057917
76.0 -8.14778105 -8.06361811 -7.95182199 -7.88811105 -7.76433943
77.0 -8.15909335 -8.07565116 -7.96419026 -7.90002701 -7.77799331
78.0 -8.17033905 -8.08761058 -7.97647230 -7.91185822 -7.79152932
79.0 -8.18150802 -8.09948584 -7.98865714 -7.92359435 -7.80493657
80.0 -8.19259055 -8.11126687 -8.00073438 -7.93522562 -7.81820472
81.0 -8.20357745 -8.12294413 -8.01269420 -7.94674278 -7.83132405
82.0 -8.21445997 -8.13450861 -8.02452732 -7.95813715 -7.84428543
83.0 -8.22522990 -8.14595183 -8.03622507 -7.96940062 -7.85708033
84.0 -8.23587950 -8.15726583 -8.04777936 -7.98052563 -7.86970084
