#Time E_0 E_1 E_2 E_3 E_4
81.0 -8.06214841 -7.98889195 -7.86750630 -7.81383940 -7.70447541
82.0 -8.06628896 -7.99369995 -7.87230555 -7.81861747 -7.71046902
83.0 -8.07017468 -7.99823463 -7.87682300 -7.82311939 -7.71612743
84.0 -8.07380346 -8.00249375 -7.88105674 -7.82734307 -7.72144844
85.0 -8.07717395 -8.00647589 -7.88500567 -7.83128722 -7.72643071
86.0 -8.08028550 -8.01018039 -7.88866951 -7.83495130 -7.73107378
87.0 -8.08313816 -8.01360733 -7.89204871 -7.83833553 -7.73537800
88.0 -8.08573264 -8.01675752 -7.89514442 -7.84144082 -7.73934449
89.0 -8.08807028 -8.01963244 -7.89795852 -7.84426874 -7.74297514
90.0 -8.09015302 -8.02223421 -7.90049347 -7.84682150 -7.74627251
91.0 -8.09198335 -8.02456556 -7.90275237 -7.84910191 -7.74923987
92.0 -8.09356432 -8.02662976 -7.90473887 -7.85111331 -7.75188107
93.0 -8.09489945 -8.02843064 -7.90645715 -7.85285960 -7.75420055
94.0 -8.09599273 -8.02997250 -7.90791184 -7.85434513 -7.75620330
95.0 -8.09684857 -8.03126011 -7.90910805 -7.85557471 -7.75789479
96.0 -8.09747177 -8.03229864 -7.91005127 -7.85655354 -7.75928095
97.0 -8.09786750 -8.03309364 -7.91074736 -7.85728722 -7.76036812
98.0 -8.09804123 -8.03365099 -7.91120250 -7.85778165 -7.76116302
99.0 -8.09799874 -8.03397689 -7.91142317 -7.85804306 -7.76167270
100.0 -8.09774605 -8.03407779 -7.91141609 -7.85807792 -7.76190449
101.0 -8.09728942 -8.03396040 -7.91118823 -7.85789296 -7.76186600
102.0 -8.09663528 -8.03363161 -7.91074671 -7.85749507 -7.76156506
103.0 -8.09579026 -8.03309848 -7.91009884 -7.85689135 -7.76100968
104.0 -8.09476110 -8.03236822 -7.90925202 -7.85608901 -7.76020802
105.0 -8.09355465 -8.03144815 -7.90821379 -7.85509540 -7.75916839
106.0 -8.09217786 -8.03034567 -7.90699174 -7.85391792 -7.75789917
107.0 -8.09063773 -8.02906824 -7.90559351 -7.85256406 -7.75640883
108.0 -8.08894129 -8.02762336 -7.90402675 -7.85104132 -7.75470585
109.0 -8.08709561 -8.02601852 -7.90229913 -7.84935725 -7.75279877
110.0 -8.08510772 -8.02426123 -7.90041830 -7.84751934 -7.75069609
111.0 -8.08298466 -8.02235894 -7.89839186 -7.84553510 -7.74840629
112.0 -8.08073340 -8.02031909 -7.89622735 -7.84341197 -7.74593782
113.0 -8.07836087 -8.01814901 -7.89393225 -7.84115733 -7.74329903
114.0 -8.07587391 -8.01585598 -7.89151394 -7.83877848 -7.74049822
115.0 -8.07327930 -8.01344718 -7.88897971 -7.83628263 -7.73754358
116.0 -8.07058370 -8.01092966 -7.88633673 -7.83367689 -7.73444317
117.0 -8.06779365 -8.00831037 -7.88359202 -7.83096824 -7.73120495
118.0 -8.06491560 -8.00559614 -7.88075251 -7.82816353 -7.72783672
119.0 -8.06195583 -8.00279364 -7.87782496 -7.82526948 -7.72434616
120.0 -8.05892053 -7.99990939 -7.87481596 -7.82229268 -7.72074076
121.0 -8.05581569 -7.99694976 -7.87173198 -7.81923952 -7.71702787
122.0 -8.05264719 -7.99392098 -7.86857930 -7.81611628 -7.71321467
123.0 -8.04942075 -7.99082908 -7.86536402 -7.81292904 -7.70930813
124.0 -8.04614190 -7.98767994 -7.86209210 -7.80968374 -7.70531508
125.0 -8.04281603 -7.98447926 -7.85876930 -7.80638610 -7.70124215
126.0 -8.03944837 -7.98123257 -7.85540120 -7.80304172 -7.69709576
127.0 -8.03604396 -7.97794520 -7.85199320 -7.79965598 -7.69288215
128.0 -8.03260767 -7.97462233 -7.84855053 -7.79623410 -7.68860739
129.0 -8.02914422 -7.97126893 -7.84507822 -7.79278109 -7.68427731
130.0 -8.02565813 -7.96788981 -7.84158112 -7.78930182 -7.67989759
131.0 -8.02215377 -7.96448959 -7.83806390 -7.78580095 -7.67547367
132.0 -8.01863533 -7.96107270 -7.83453104 -7.78228297 -7.67101083
133.0 -8.01510683 -7.95764341 -7.83098686 -7.77875217 -7.66651414
134.0 -8.01157213 -7.95420581 -7.82743549 -7.77521270 -7.66198849
135.0 -8.00803491 -7.95076381 -7.82388087 -7.77166849 -7.65743856
136.0 -8.00449870 -7.94732114 -7.82032679 -7.76812334 -7.65286887
137.0 -8.00096687 -7.94388138 -7.81677685 -7.76458084 -7.64828373
138.0 -7.99744262 -7.94044792 -7.81323448 -7.76104444 -7.64368728
139.0 -7.99392900 -7.93702401 -7.80970298 -7.75751741 -7.63908348
140.0 -7.99042891 -7.93361273 -7.80618543 -7.75400286 -7.63447612
141.0 -7.98694511 -7.93021699 -7.80268481 -7.75050374 -7.62986880
142.0 -7.98348019 -7.92683958 -7.79920390 -7.74702286 -7.62526497
143.0 -7.98003663 -7.92348310 -7.79574536 -7.74356286 -7.62066790
144.0 -7.97661674 -7.92015003 -7.79231168 -7.74012623 -7.61608073
145.0 -7.97322273 -7.91684270 -7.78890523 -7.73671534 -7.61150640
146.0 -7.96985666 -7.91356331 -7.78552822 -7.73333240 -7.60694773
147.0 -7.96652046 -7.91031393 -7.78218274 -7.72997949 -7.60240738
148.0 -7.96321594 -7.90709648 -7.77887073 -7.72665857 -7.59788787
149.0 -7.95994482 -7.90391277 -7.77559404 -7.72337145 -7.59339158
150.0 -7.95670866 -7.90076450 -7.77235436 -7.72011983 -7.58892075
151.0 -7.95350895 -7.89765322 -7.76915328 -7.71690531 -7.58447749
152.0 -7.95034705 -7.89458040 -7.76599227 -7.71372934 -7.58006379
153.0 -7.94722423 -7.89154738 -7.76287270 -7.71059328 -7.57568152
154.0 -7.94414166 -7.88855542 -7.75979582 -7.70749839 -7.57133243
155.0 -7.94110041 -7.88560565 -7.75676279 -7.70444582 -7.56701815
156.0 -7.93810146 -7.88269911 -7.75377467 -7.70143661 -7.56274019
157.0 -7.93514572 -7.87983677 -7.75083241 -7.69847172 -7.55849999
158.0 -7.93223400 -7.87701949 -7.74793690 -7.69555201 -7.55429886
159.0 -7.92936702 -7.87424803 -7.74508891 -7.69267827 -7.55013801
160.0 -7.92654545 -7.87152310 -7.74228915 -7.68985119 -7.54601858
161.0 -7.92376987 -7.86884532 -7.73953824 -7.68707138 -7.54194159
162.0 -7.92104080 -7.86621523 -7.73683672 -7.68433938 -7.53790799
163.0 -7.91835869 -7.86363328 -7.73418508 -7.68165567 -7.53391866
164.0 -7.91572391 -7.86109990 -7.73158372 -7.67902062 -7.52997437
165.0 -7.91313680 -7.85861540 -7.72903297 -7.67643459 -7.52607585
166.0 -7.91059762 -7.85618007 -7.72653311 -7.67389783 -7.52222372
167.0 -7.90810659 -7.85379411 -7.72408435 -7.67141055 -7.51841856
168.0 -7.90566387 -7.85145769 -7.72168686 -7.66897291 -7.51466086
169.0 -7.90326957 -7.84917091 -7.71934073 -7.66658499 -7.51095108
170.0 -7.90092375 -7.84693382 -7.71704603 -7.66424685 -7.50728959
171.0 -7.89862645 -7.84474642 -7.71480274 -7.66195849 -7.50367671
172.0 -7.89637764 -7.84260867 -7.71261084 -7.65971984 -7.50011272
173.0 -7.89417725 -7.84052048 -7.71047023 -7.65753083 -7.49659783
174.0 -7.89202521 -7.83848174 -7.70838078 -7.65539132 -7.49313220
175.0 -7.88992137 -7.83649227 -7.70634233 -7.65330113 -7.48971596
176.0 -7.88786556 -7.83455187 -7.70435466 -7.65126005 -7.48634919
177.0 -7.88585761 -7.83266030 -7.70241755 -7.64926784 -7.48303192
178.0 -7.88389727 -7.83081730 -7.70053071 -7.64732423 -7.47976414
179.0 -7.88198429 -7.82902256 -7.69869385 -7.64542891 -7.47654582
180.0 -7.88011841 -7.82727576 -7.69690662 -7.64358154 -7.47337687
181.0 -7.87829931 -7.82557654 -7.69516868 -7.64178176 -7.47025719
182.0 -7.87652668 -7.82392451 -7.69347962 -7.64002919 -7.46718662
183.0 -7.87480016 -7.82231927 -7.69183905 -7.63832341 -7.46416501
184.0 -7.87311938 -7.82076041 -7.69024652 -7.63666400 -7.46119214
185.0 -7.87148398 -7.81924746 -7.68870159 -7.63505050 -7.45826779
186.0 -7.86989354 -7.81777996 -7.68720378 -7.63348244 -7.45539171
187.0 -7.86834764 -7.81635743 -7.68575260 -7.63195934 -7.45256362
188.0 -7.86684586 -7.81497937 -7.68434755 -7.63048070 -7.44978324
