#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.72879583 -7.61555314 -7.48803884 -7.43936432 -7.18877372
1.0 -7.72879906 -7.61555131 -7.48804075 -7.43936526 -7.18880004
2.0 -7.72881052 -7.61554532 -7.48804771 -7.43936885 -7.18889130
3.0 -7.72883134 -7.61553628 -7.48806096 -7.43937622 -7.18904881
4.0 -7.72886333 -7.61552611 -7.48808255 -7.43938930 -7.18927423
5.0 -7.72890906 -7.61551752 -7.48811541 -7.43941081 -7.18956992
6.0 -7.72897182 -7.61551401 -7.48816327 -7.43944424 -7.18993890
7.0 -7.72905562 -7.61551979 -7.48823068 -7.43949384 -7.19038483
8.0 -7.72916518 -7.61553985 -7.48832297 -7.43956458 -7.19091201
9.0 -7.72930586 -7.61557985 -7.48844622 -7.43966215 -7.19152535
10.0 -7.72948369 -7.61564613 -7.48860725 -7.43979290 -7.19223032
11.0 -7.72970527 -7.61574568 -7.48881355 -7.43996385 -7.19303294
12.0 -7.72997781 -7.61588607 -7.48907324 -7.44018258 -7.19393975
13.0 -7.73030903 -7.61607543 -7.48939506 -7.44045728 -7.19495774
14.0 -7.73070718 -7.61632244 -7.48978830 -7.44079663 -7.19609436
15.0 -7.73118094 -7.61663621 -7.49026276 -7.44120981 -7.19735743
16.0 -7.73173940 -7.61702630 -7.49082869 -7.44170640 -7.19875512
17.0 -7.73239203 -7.61750263 -7.49149673 -7.44229638 -7.20029593
18.0 -7.73314862 -7.61807546 -7.49227790 -7.44299005 -7.20198859
19.0 -7.73401923 -7.61875531 -7.49318349 -7.44379799 -7.20384205
20.0 -7.73501413 -7.61955292 -7.49422503 -7.44473100 -7.20586541
21.0 -7.73614379 -7.62047921 -7.49541423 -7.44580004 -7.20806789
22.0 -7.73741876 -7.62154520 -7.49676292 -7.44701618 -7.21045880
23.0 -7.73884971 -7.62276197 -7.49828301 -7.44839055 -7.21304742
24.0 -7.74044729 -7.62414061 -7.49998640 -7.44993428 -7.21584302
25.0 -7.74222213 -7.62569217 -7.50188495 -7.45165843 -7.21885478
26.0 -7.74418480 -7.62742758 -7.50399040 -7.45357396 -7.22209175
27.0 -7.74634569 -7.62935763 -7.50631433 -7.45569163 -7.22556281
28.0 -7.74871506 -7.63149292 -7.50886811 -7.45802202 -7.22927659
29.0 -7.75130290 -7.63384376 -7.51166282 -7.46057540 -7.23324147
30.0 -7.75411892 -7.63642019 -7.51470923 -7.46336170 -7.23746548
31.0 -7.75717253 -7.63923189 -7.51801771 -7.46639049 -7.24195632
32.0 -7.76047273 -7.64228815 -7.52159820 -7.46967089 -7.24672126
33.0 -7.76402813 -7.64559782 -7.52546018 -7.47321154 -7.25176714
34.0 -7.76784684 -7.64916925 -7.52961257 -7.47702055 -7.25710029
35.0 -7.77193648 -7.65301032 -7.53406373 -7.48110546 -7.26272653
36.0 -7.77630414 -7.65712829 -7.53882141 -7.48547317 -7.26865112
37.0 -7.78095629 -7.66152989 -7.54389266 -7.49012995 -7.27487871
38.0 -7.78589878 -7.66622118 -7.54928387 -7.49508136 -7.28141331
39.0 -7.79113683 -7.67120758 -7.55500065 -7.50033224 -7.28825829
40.0 -7.79667492 -7.67649384 -7.56104786 -7.50588667 -7.29541631
41.0 -7.80251685 -7.68208400 -7.56742955 -7.51174793 -7.30288934
42.0 -7.80866565 -7.68798135 -7.57414893 -7.51791851 -7.31067859
43.0 -7.81512357 -7.69418847 -7.58120834 -7.52440007 -7.31878450
44.0 -7.82189209 -7.70070716 -7.58860923 -7.53119342 -7.32720676
45.0 -7.82897185 -7.70753845 -7.59635218 -7.53829851 -7.33594426
46.0 -7.83636268 -7.71468257 -7.60443681 -7.54571445 -7.34499508
47.0 -7.84406356 -7.72213900 -7.61286184 -7.55343949 -7.35435649
48.0 -7.85207265 -7.72990640 -7.62162505 -7.56147102 -7.36402495
49.0 -7.86038722 -7.73798264 -7.63072326 -7.56980558 -7.37399612
50.0 -7.86900374 -7.74636481 -7.64015238 -7.57843889 -7.38426482
51.0 -7.87791779 -7.75504922 -7.64990737 -7.58736584 -7.39482508
52.0 -7.88712414 -7.76403139 -7.65998228 -7.59658056 -7.40567012
53.0 -7.89661674 -7.77330609 -7.67037025 -7.60607639 -7.41679241
54.0 -7.90638874 -7.78286734 -7.68106356 -7.61584599 -7.42818363
55.0 -7.91643250 -7.79270845 -7.69205361 -7.62588130 -7.43983474
56.0 -7.92673962 -7.80282200 -7.70333098 -7.63617362 -7.45173598
57.0 -7.93730099 -7.81319989 -7.71488545 -7.64671368 -7.46387690
58.0 -7.94810679 -7.82383336 -7.72670606 -7.65749163 -7.47624643
59.0 -7.95914655 -7.83471303 -7.73878112 -7.66849714 -7.48883284
60.0 -7.97040920 -7.84582890 -7.75109829 -7.67971943 -7.50162387
61.0 -7.98188308 -7.85717042 -7.76364459 -7.69114732 -7.51460671
62.0 -7.99355601 -7.86872650 -7.77640649 -7.70276932 -7.52776807
63.0 -8.00541533 -7.88048555 -7.78936996 -7.71457362 -7.54109422
64.0 -8.01744797 -7.89243554 -7.80252049 -7.72654821 -7.55457105
65.0 -8.02964048 -7.90456399 -7.81584318 -7.73868086 -7.56818409
66.0 -8.04197906 -7.91685806 -7.82932279 -7.75095923 -7.58191859
67.0 -8.05444969 -7.92930459 -7.84294382 -7.76337088 -7.59575957
68.0 -8.06703811 -7.94189012 -7.85669053 -7.77590333 -7.60969186
69.0 -8.07972993 -7.95460095 -7.87054705 -7.78854408 -7.62370016
70.0 -8.09251063 -7.96742319 -7.88449738 -7.80128065 -7.63776909
71.0 -8.10536567 -7.98034280 -7.89852552 -7.81410060 -7.65188326
72.0 -8.11828048 -7.99334564 -7.91261546 -7.82699159 -7.66602727
73.0 -8.13124057 -8.00641753 -7.92675126 -7.83994134 -7.68018581
74.0 -8.14423157 -8.01954427 -7.94091714 -7.85293770 -7.69434370
75.0 -8.15723922 -8.03271171 -7.95509747 -7.86596867 -7.70848592
76.0 -8.17024951 -8.04590580 -7.96927686 -7.87902234 -7.72259765
77.0 -8.18324864 -8.05911263 -7.98344021 -7.89208700 -7.73666437
78.0 -8.19622309 -8.07231846 -7.99757272 -7.90515108 -7.75067183
79.0 -8.20915968 -8.08550977 -8.01165995 -7.91820317 -7.76460612
80.0 -8.22204558 -8.09867332 -8.02568786 -7.93123205 -7.77845371
81.0 -8.23486834 -8.11179615 -8.03964285 -7.94422667 -7.79220148
82.0 -8.24761594 -8.12486566 -8.05351177 -7.95717619 -7.80583676
83.0 -8.26027679 -8.13786962 -8.06728198 -7.97006998 -7.81934734
84.0 -8.27283979 -8.15079621 -8.08094134 -7.98289764 -7.83272155
85.0 -8.28529434 -8.16363405 -8.09447829 -7.99564898 -7.84594819
86.0 -8.29763033 -8.17637220 -8.10788180 -8.00831412 -7.85901665
87.0 -8.30983819 -8.18900024 -8.12114142 -8.02088340 -7.87191686
88.0 -8.32190890 -8.20150823 -8.13424732 -8.03334749 -7.88463933
89.0 -8.33383396 -8.21388676 -8.14719024 -8.04569737 -7.89717514
90.0 -8.34560547 -8.22612695 -8.15996156 -8.05792438 -7.90951600
91.0 -8.35721606 -8.23822047 -8.17255326 -8.07002018 -7.92165417
92.0 -8.36865894 -8.25015956 -8.18495795 -8.08197687 -7.93358255
93.0 -8.37992788 -8.26193700 -8.19716884 -8.09378692 -7.94529461
94.0 -8.39101721 -8.27354614 -8.20917977 -8.10544324 -7.95678441
95.0 -8.40192181 -8.28498086 -8.22098517 -8.11693918 -7.96804659
96.0 -8.41263711 -8.29623564 -8.23258005 -8.12826855 -7.97907635
97.0 -8.42315905 -8.30730546 -8.24396003 -8.13942562 -7.98986945
98.0 -8.43348411 -8.31818586 -8.25512127 -8.15040513 -8.00042218
99.0 -8.44360926 -8.32887288 -8.26606050 -8.16120233 -8.01073135
100.0 -8.45353196 -8.33936311 -8.27677495 -8.17181294 -8.02079427
101.0 -8.46325015 -8.34965359 -8.28726239 -8.18223316 -8.03060873
102.0 -8.47276220 -8.35974187 -8.29752105 -8.19245968 -8.04017297
103.0 -8.48206691 -8.36962593 -8.30754966 -8.20248965 -8.04948568
104.0 -8.49116349 -8.37930422 -8.31734737 -8.21232071 -8.05854593
105.0 -8.50005155 -8.38877559 -8.32691373 -8.22195092 -8.06735323
106.0 -8.50873103 -8.39803929 -8.33624872 -8.23137880 -8.07590740
107.0 -8.51720225 -8.40709497 -8.34535268 -8.24060331 -8.08420866
108.0 -8.52546583 -8.41594264 -8.35422630 -8.24962378 -8.09225754
109.0 -8.53352272 -8.42458264 -8.36287059 -8.25843997 -8.10005485
110.0 -8.54137414 -8.43301564 -8.37128688 -8.26705200 -8.10760173
111.0 -8.54902156 -8.44124265 -8.37947678 -8.27546035 -8.11489956
112.0 -8.55646672 -8.44926494 -8.38744218 -8.28366584 -8.12194999
113.0 -8.56371159 -8.45708406 -8.39518519 -8.29166961 -8.12875491
114.0 -8.57075835 -8.46470182 -8.40270816 -8.29947309 -8.13531641
115.0 -8.57760938 -8.47212028 -8.41001367 -8.30707803 -8.14163679
116.0 -8.58426724 -8.47934174 -8.41710448 -8.31448639 -8.14771857
117.0 -8.59073466 -8.48636869 -8.42398351 -8.32170042 -8.15356441
118.0 -8.59701452 -8.49320382 -8.43065387 -8.32872258 -8.15917715
119.0 -8.60310985 -8.49985003 -8.43711881 -8.33555554 -8.16455978
120.0 -8.60902380 -8.50631036 -8.44338171 -8.34220217 -8.16971544
121.0 -8.61475964 -8.51258805 -8.44944607 -8.34866549 -8.17464737
122.0 -8.62032072 -8.51868644 -8.45531549 -8.35494871 -8.17935894
123.0 -8.62571052 -8.52460903 -8.46099366 -8.36105516 -8.18385363
124.0 -8.63093256 -8.53035943 -8.46648438 -8.36698830 -8.18813500
125.0 -8.63599046 -8.53594135 -8.47179149 -8.37275168 -8.19220669
126.0 -8.64088785 -8.54135862 -8.47691888 -8.37834897 -8.19607240
127.0 -8.64562845 -8.54661511 -8.48187050 -8.38378387 -8.19973592
128.0 -8.65021598 -8.55171479 -8.48665034 -8.38906019 -8.20320104
129.0 -8.65465422 -8.55666168 -8.49126240 -8.39418175 -8.20647165
