#Time E_0 E_1 E_2 E_3 E_4
81.0 -8.31502300 -8.22613930 -8.12637568 -8.04992979 -7.91972529
82.0 -8.32847147 -8.24024767 -8.14081494 -8.06390097 -7.93478998
83.0 -8.34176144 -8.25419525 -8.15507094 -8.07771071 -7.94965160
84.0 -8.35488245 -8.26797127 -8.16913282 -8.09134924 -7.96429992
85.0 -8.36782479 -8.28156579 -8.18299059 -8.10480765 -7.97872560
86.0 -8.38057955 -8.29496964 -8.19663511 -8.11807780 -7.99292016
87.0 -8.39313858 -8.30817447 -8.21005812 -8.13115237 -8.00687601
88.0 -8.40549450 -8.32117271 -8.22325217 -8.14402482 -8.02058643
89.0 -8.41764068 -8.33395759 -8.23621066 -8.15668941 -8.03404563
90.0 -8.42957126 -8.34652310 -8.24892778 -8.16914118 -8.04724868
91.0 -8.44128108 -8.35886398 -8.26139853 -8.18137592 -8.06019159
92.0 -8.45276570 -8.37097571 -8.27361864 -8.19339016 -8.07287130
93.0 -8.46402137 -8.38285450 -8.28558461 -8.20518115 -8.08528576
94.0 -8.47504499 -8.39449722 -8.29729361 -8.21674686 -8.09743399
95.0 -8.48583410 -8.40590141 -8.30874352 -8.22808594 -8.10931624
96.0 -8.49638688 -8.41706526 -8.31993284 -8.23919768 -8.12093422
97.0 -8.50670205 -8.42798756 -8.33086068 -8.25008206 -8.13229156
98.0 -8.51677891 -8.43866765 -8.34152675 -8.26073963 -8.14339455
99.0 -8.52661730 -8.44910546 -8.35193130 -8.27117159 -8.15425360
100.0 -8.53621752 -8.45930141 -8.36207508 -8.28137970 -8.16488601
101.0 -8.54558037 -8.46925641 -8.37195933 -8.29136631 -8.17532158
102.0 -8.55470708 -8.47897182 -8.38158573 -8.30113430 -8.18561472
103.0 -8.56359928 -8.48844944 -8.39095639 -8.31068711 -8.19586992
104.0 -8.57225900 -8.49769143 -8.40007378 -8.32002868 -8.20628550
105.0 -8.58068859 -8.50670035 -8.40894074 -8.32916349 -8.21715918
106.0 -8.58889074 -8.51547906 -8.41756040 -8.33809649 -8.22867178
107.0 -8.59686844 -8.52403073 -8.42593621 -8.34683315 -8.24064029
108.0 -8.60462494 -8.53235881 -8.43407186 -8.35537942 -8.25274151
109.0 -8.61216373 -8.54046702 -8.44197128 -8.36374170 -8.26475629
110.0 -8.61948855 -8.54835926 -8.44963863 -8.37192690 -8.27657135
111.0 -8.62660330 -8.55603965 -8.45707823 -8.37994235 -8.28813015
112.0 -8.63351207 -8.56351250 -8.46429455 -8.38779582 -8.29940339
113.0 -8.64021910 -8.57078225 -8.47129223 -8.39549550 -8.31037521
114.0 -8.64672876 -8.57785346 -8.47807599 -8.40304993 -8.32103669
115.0 -8.65304553 -8.58473082 -8.48465068 -8.41046801 -8.33138276
116.0 -8.65917400 -8.59141911 -8.49102121 -8.41775884 -8.34141058
117.0 -8.66511882 -8.59792316 -8.49719253 -8.42493174 -8.35111871
118.0 -8.67088470 -8.60424787 -8.50316968 -8.43199603 -8.36050669
119.0 -8.67647642 -8.61039818 -8.50895769 -8.43896097 -8.36957484
120.0 -8.68189876 -8.61637904 -8.51456162 -8.44583554 -8.37832420
121.0 -8.68715656 -8.62219543 -8.51998652 -8.45262828 -8.38675657
122.0 -8.69225463 -8.62785232 -8.52523747 -8.45934710 -8.39487457
123.0 -8.69719779 -8.63335464 -8.53031947 -8.46599909 -8.40268178
124.0 -8.70199087 -8.63870734 -8.53523754 -8.47259033 -8.41018285
125.0 -8.70663866 -8.64391529 -8.53999665 -8.47912576 -8.41738353
126.0 -8.71114591 -8.64898334 -8.54460170 -8.48560915 -8.42429075
127.0 -8.71551734 -8.65391630 -8.54905756 -8.49204302 -8.43091261
128.0 -8.71975765 -8.65871888 -8.55336906 -8.49842873 -8.43725826
129.0 -8.72387145 -8.66339575 -8.55754091 -8.50476659 -8.44333778
130.0 -8.72786333 -8.66795151 -8.56157782 -8.51105602 -8.44916199
131.0 -8.73173780 -8.67239067 -8.56548438 -8.51729574 -8.45474224
132.0 -8.73549931 -8.67671765 -8.56926512 -8.52348401 -8.46009018
133.0 -8.73915225 -8.68093679 -8.57292450 -8.52961877 -8.46521755
134.0 -8.74270092 -8.68505236 -8.57646692 -8.53569788 -8.47013598
135.0 -8.74614956 -8.68906849 -8.57989667 -8.54171924 -8.47485684
136.0 -8.74950235 -8.69298925 -8.58321799 -8.54768091 -8.47939110
137.0 -8.75276337 -8.69681860 -8.58643507 -8.55358119 -8.48374921
138.0 -8.75593663 -8.70056039 -8.58955200 -8.55941870 -8.48794110
139.0 -8.75902606 -8.70421838 -8.59257286 -8.56519232 -8.49197607
140.0 -8.76203551 -8.70779621 -8.59550169 -8.57090126 -8.49586285
141.0 -8.76496875 -8.71129743 -8.59834256 -8.57654497 -8.49960955
142.0 -8.76782947 -8.71472547 -8.60109961 -8.58212304 -8.50322366
143.0 -8.77062127 -8.71808365 -8.60377726 -8.58763503 -8.50671216
144.0 -8.77334768 -8.72137520 -8.60638056 -8.59308008 -8.51008145
145.0 -8.77601216 -8.72460323 -8.60891610 -8.59845593 -8.51333742
146.0 -8.77861806 -8.72777075 -8.61139514 -8.60375578 -8.51648551
147.0 -8.78116867 -8.73088064 -8.61384697 -8.60895492 -8.51953070
148.0 -8.78366721 -8.73393571 -8.61641791 -8.61391168 -8.52247753
149.0 -8.78611681 -8.73693864 -8.62004350 -8.61769523 -8.52533020
150.0 -8.78852053 -8.73989200 -8.62484632 -8.62018771 -8.52809250
151.0 -8.79088135 -8.74279827 -8.62981433 -8.62240589 -8.53076791
152.0 -8.79320218 -8.74565984 -8.63477622 -8.62452580 -8.53335959
153.0 -8.79548586 -8.74847895 -8.63970416 -8.62657997 -8.53587039
154.0 -8.79773516 -8.75125779 -8.64459129 -8.62857990 -8.53830289
155.0 -8.79995277 -8.75399842 -8.64943598 -8.63053182 -8.54065942
